ID_QUATANGSN,PHIQUATANG,THONGDIEP,TENNGUOINHAN,DIACHIGIAOQUA,ID_DH
2164,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Mạch Hiểu Lam,"156 pAn Lạc A, QBình Tân, TpHCM",2277
2165,25000,Chúc mừng sinh nhật bạn thân!,Lê Quốc Bảo,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",1199
2166,45000,Chúc mừng sinh nhật.,Trần Nguyên Đạt,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",1566
2167,25000,,Nguyễn Thị Bình Nguyên,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",728
2168,45000,Happy Birthday!,Trịnh Hữu Phúc Minh,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",2936
2169,25000,Party hard - this is YOUR day\,Nguyễn Tuấn Khanh,"68 Nguyễn Huệ, P. Bến Nghé, Quận",161
2170,45000,Chúc mừng sinh nhật người đẹp.,Bé Giáp,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",3132
2171,25000,Cuộc đời là một chuyến hành trình.,Trí Anh,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",2040
2172,45000,May beauty and happiness surround you,Hồ Việt Hải,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",2858
2173,25000,Chúc mừng sinh nhật.,Nguyễn Hoàng Gia Vỹ,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,1830
2174,45000,Happy Birthday!,Đỗ Phạm Phương Thảo,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",3088
2175,25000,Một ngày được phủ tràn nắng ấm,Nguyễn Anh Quân,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",2474
2176,45000,,Vu Bao Chau,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,2959
2177,25000,\Tận hưởng từng centimet nhé ;),Đặng Đức Dũng,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",2010
2178,45000,Party hard - this is YOUR day\,Hoàng Phú Minh,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",2683
2179,25000,Happy Birthday!,Lê Khánh Giang,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",286
2180,45000,"Hãy gác lại quá khứ, hướng đến tương lai.",Nguyễn Quang Thắng,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",2268
2181,25000,Party điii…!!,Nguyễn Nhật Ánh Dương,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",2806
2182,45000,Happy Birthday.,Ngô Quang Thế,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,2585
2183,25000,Những gì tốt đẹp nhất vẫn đang đến.,Đinh Đăng Việt Anh,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",2792
2184,45000,Chúc mừng sinh nhật.,Anh Quân,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",3029
2185,25000,Chúc mừng sinh nhật.,Lê Anh Khoa,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",2070
2186,45000,,Hứa Huy Phong,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",2793
2187,25000,Chúc mừng sinh nhật.,Phạm Bảo Khang,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",3116
2188,45000,Forget the past; look forward to the future,Lê Xuân Bách,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",737
2189,25000,Chúc mừng sinh nhật.,Phan Anh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",1929
2190,45000,Chúc mừng sinh nhật bạn thân!,Nguyễn Quốc Triệu,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",1831
2191,25000,,Quang,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",3089
2192,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Trà Thiên Ân,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",3056
2193,25000,Chúc mừng sinh nhật.,Trịnh Lê Diệu Anh,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",975
2194,45000,Chúc mừng sinh nhật bạn thân!,Lê Việt Anh,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",2305
2195,25000,Chúc mừng sinh nhật nghen,Lê Khánh Giang,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",3136
2196,45000,Enjoy every mile. Happy Birthday.,Bảo Kỳ,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",2396
2197,25000,Forget the past; look forward to the future,Phạm Minh Hùng,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",964
2198,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Trương Mẫn Thy,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",133
2199,25000,Party hard - this is YOUR day\,Nguyễn Khoa Đăng,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",2829
2200,45000,Chúc mừng sinh nhật người đẹp.,Nguyễn Trọng Quang,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",2908
2201,25000,"Another year older, another year wiser. ",Đỗ Anh Dương,"233đường Trục, P.13, Q. BìnhThạnh",2126
2202,45000,Chúc mừng sinh nhật!,Nguyễn Quang Thắng,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",1422
2203,25000,Chúc mừng sinh nhật bạn thân!,Lê Bá Di,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",2821
2204,45000,Chúc bạn một tuổi mới như thế ^^,hoàng trung kiên,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",2864
2205,25000,Chúc mừng sinh nhật.,Đức Chung,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",2328
2206,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Khải Hoàn,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",1613
2207,25000,Một ngày được phủ tràn nắng ấm,Minh Triết,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",2116
2208,45000,\Tận hưởng từng centimet nhé ;),Phạm Cao Lâm,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",3177
2209,25000,Happy Birthday,Bùi Anh Đức,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1994
2210,45000,Happy Birthday!,Hoàng Văn Việt,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",2600
2211,25000,Chúc bạn một tuổi mới như thế ^^,Bảo Kỳ,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",2996
2212,45000,Chúc mừng khởi đầu một năm hành trình mới,Lê Hải Vũ,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",2900
2213,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Lê Hoàng Giang,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",1551
2214,45000,Party điii…!!,Vũ Quang Vinh,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",2187
2215,25000,Chúc mừng sinh nhật!,Hà Linh,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",162
2216,45000,May beauty and happiness surround you,Hoàng Gia Anh,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",2026
2217,25000,Chúc mừng sinh nhật bạn thân!,Đặng Huy Mạnh,"233đường Trục, P.13, Q. BìnhThạnh",1975
2218,45000,Hãy luôn yêu đời nhé !,Trịnh Hoàng Bách,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",1598
2219,25000,Chúc mừng sinh nhật!,Nguyễn Minh Hạnh,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",3057
2220,45000,Chúc mừng sinh nhật bạn thân!,Nguyễn Tạ Ân Bình,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",2983
2221,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Nguyễn Linh Lan,"68 Nguyễn Huệ, P. Bến Nghé, Quận",2278
2222,45000,,Phạm Vũ Khánh Linh,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",2689
2223,25000,Hãy luôn yêu đời nhé !,Nguyễn Lê Sơn,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",3013
2224,45000,Chúc mừng sinh nhật.,Nguyễn Xuân Hùng,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",1237
2225,25000,Chúc mừng sinh nhật người đẹp.,Phùng Đức An,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",2590
2226,45000,Happy Birthday.,Đào Đình Việt,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",1736
2227,25000,"Another year older, another year wiser. ",Vũ Quang Huy,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",2569
2228,45000,Chúc mừng sinh nhật!,Xuân Phú,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",3085
2229,25000,Party điii…!!,Nguyễn Hoàng Biển,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",1379
2230,45000,Chúc mừng sinh nhật người đẹp.,Hoàng Đông Bách,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",2719
2231,25000,,Kiên,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",3120
2232,45000,Party hard - this is YOUR day\,Phạm Kim Hải,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",2498
2233,25000,Forget the past; look forward to the future,Nguyễn An Sơn,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",2352
2234,45000,Những gì tốt đẹp nhất vẫn đang đến.,Phạm Cao Lâm,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1587
2235,25000,Happy Birthday,Nguyễn Xuân Hùng,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",2547
2236,45000,"Hãy gác lại quá khứ, hướng đến tương lai.",Lê Bá Di,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",2407
2237,25000,Happy Birthday!,Nguyễn Việt Anh,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",1650
2238,45000,,Đỗ Đức Phúc Thịnh,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",955
2239,25000,,Hồ Tuấn Đạt,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",1803
2240,45000,Forget the past; look forward to the future,Nguyễn Trúc Quỳnh,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",2313
2241,25000,"Another year older, another year wiser. ",Minh Hoàng,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",2060
2242,45000,Party hard - this is YOUR day\,Bé Giáp,"156 pAn Lạc A, QBình Tân, TpHCM",3181
2243,25000,\Tận hưởng từng centimet nhé ;),Trương Gia Thiện,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",406
2244,45000,Cuộc đời là một chuyến hành trình.,Tạ Hữu Đức Mạnh,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",3115
2245,25000,Enjoy every mile. Happy Birthday.,Nguyễn Trí Dũng,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",3119
2246,45000,Chúc mừng sinh nhật!,Benjamin,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",1689
2247,25000,Chúc mừng sinh nhật người đẹp.,Lê Quốc Bảo,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",2939
2248,45000,Cuộc đời là một chuyến hành trình.,Nguyễn Minh Hạnh,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",2756
2249,25000,Chúc mừng sinh nhật!,Vũ Trần Đức Thành,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",1020
2250,45000,Chúc mừng sinh nhật người đẹp.,Nguyễn Huỳnh Bảo Nam,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",3109
2251,25000,Party hard - this is YOUR day\,Nguyễn Phương Linh,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,374
2252,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Trần Tiến Hùng,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",2677
2253,25000,Happy Birthday!,Lương Bảo Lâm,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",2502
2254,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Trần Gia Huy,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",3071
2255,25000,"Hãy gác lại quá khứ, hướng đến tương lai.",Trần Lê Duy,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",2089
2256,45000,"Another year older, another year wiser. ",Nguyễn Nhật Quang,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,617
2257,25000,\Tận hưởng từng centimet nhé ;),Lê Hoàng Bách,07 Quang Trung – P11 – Q.Gò Vấp– TP.HCM,3027
2258,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn hoàng minh,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",3149
2259,25000,Một ngày được phủ tràn nắng ấm,Ngọc,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",2353
2260,45000,Chúc bạn một tuổi mới như thế ^^,Nguyễn Đức Mạnh,"156 pAn Lạc A, QBình Tân, TpHCM",1160
2261,25000,Chúc mừng sinh nhật!,Nguyễn Trọng Quang,120 Phan Xích Long P3 Quận Bình Thạnh,3189
2262,45000,Life is a journey.,Phan Phú Trung,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",2771
2263,25000,"Another year older, another year wiser. ",Đặng Minh Đức,"46/33 Đ18,P Bình Hưng Hòa,QBình Tân,Tp.HCM",2347
2264,45000,\Tận hưởng từng centimet nhé ;),Dương Khiết,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",2470
2265,25000,Party điii…!!,Trần Quang Thịnh,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",3077
2266,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Nguyễn Ngọc Mai,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",1495
2267,25000,Chúc mừng khởi đầu một năm hành trình mới,Lý Thiên Bảo,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",1202
2268,45000,Happy Birthday.,Nguyễn Ngọc Tấn Nguyên,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",3222
2269,25000,Life is a journey.,Lê Đặng Việt Anh,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",2586
2270,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Phạm Trung Kiên,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",2839
2271,25000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Juan Ming Shi,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",480
2272,45000,"Another year older, another year wiser. ",Đoàn Gia Khang,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",2899
2273,25000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Hoàng Minh Nhật,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",2812
2274,45000,Chúc mừng sinh nhật người đẹp.,Lê Đình Đạt,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",2825
2275,25000,Chúc mừng sinh nhật nghen,Trần Gia Huy,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",3009
2276,45000,Party hard - this is YOUR day\,Nguyễn Hoàng Khang,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",2634
2277,25000,Chúc mừng sinh nhật!,Lê Hồng Nhật Y,"168A, Đường D2, P25, Q. Bình Thạnh, Tp. HCM",3016
2278,45000,"Another year older, another year wiser. ",Lê Quốc Bảo,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",3011
2279,25000,"Another year older, another year wiser. ",Nguyễn Gia Hưng,"233đường Trục, P.13, Q. BìnhThạnh",3059
2280,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Hoàng Đông Bách,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",2449
2281,25000,Cuộc đời là một chuyến hành trình.,Nguyễn Vinh,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",2607
2282,45000,Những gì tốt đẹp nhất vẫn đang đến.,Nguyễn Phúc Quang Lâm,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",1789
2283,25000,,Anh Quân,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",3012
2284,45000,Những gì tốt đẹp nhất vẫn đang đến.,Nguyễn Quỳnh Giang,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",1550
2285,25000,Party điii…!!,Nguyễn Hoàng Biển,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",2913
2286,45000,Chúc bạn luôn xinh đẹp và hạnh phúc,Văn Dũng,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",3040
2287,25000,Chúc mừng sinh nhật nghen,Ngô Đan Khanh,"68 Nguyễn Huệ, P. Bến Nghé, Quận",3214
2288,45000,Chúc mừng sinh nhật người đẹp.,Lê Hồng Nhật Y,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",2525
2289,25000,Forget the past; look forward to the future,Lê Đình Đạt,"NGUYỄN VĂN LINH, BÌNHCHÁNH, TP. HCM",104
2290,45000,Happy Birthday!,Nguyễn Trường An,"649/6 Điện Biên Phủ, P.25, Q.Bình Thạnh, Tp.HCM",2649
2291,25000,Life is a journey.,Mạch Hiểu Lam,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",3156
2292,45000,Chúc bạn một ngày sinh nhật thật đặc biệt.,Hoàng Phú Minh,"233đường Trục, P.13, Q. BìnhThạnh",3127
2293,25000,"Another year older, another year wiser. ",Benjamin,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",2647
2294,45000,Party hard - this is YOUR day\,Hứa Gia Bảo,120 Phan Xích Long P3 Quận Bình Thạnh,3141
2295,25000,Chúc bạn luôn xinh đẹp và hạnh phúc,Trương Gia Thiện,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",3062
2296,45000,May beauty and happiness surround you,Nguyễn Hà Khánh Ngọc,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",2646
2297,25000,Chúc mừng sinh nhật.,Nguyễn Tạ Ân Bình,"156 pAn Lạc A, QBình Tân, TpHCM",3123
2298,45000,Forget the past; look forward to the future,Lê Quốc Bảo,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",2919
2299,25000,Chúc mừng sinh nhật bạn thân!,Trần Vĩnh Kỳ,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",803
2300,45000,Hãy luôn yêu đời nhé !,Trương Mẫn Thy,"400/16 Xô Viết Nghệ Tĩnh , P.25, Q. Bình Thạnh",805
2301,25000,Chúc mừng sinh nhật!,Phạm Minh Khôi,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",2579
2302,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Mai Thảo,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",2694
2303,25000,"Hãy gác lại quá khứ, hướng đến tương lai.",Nguyễn Tạ Ân Bình,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",2720
2304,45000,"Hãy gác lại quá khứ, hướng đến tương lai.",Nguyễn Phúc Quang Bảo,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",2542
2305,25000,Chúc mừng sinh nhật!,Bùi Minh Khôi,"16 Đường D2,Phường 25,Q.Bình Thạnh, Tp.hcm",2428
2306,45000,Chúc mừng sinh nhật.,Trà Thiên Ân,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",2604
2307,25000,Chúc mừng sinh nhật.,Trịnh Hữu Phúc Tường,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",2237
2308,45000,"Hãy gác lại quá khứ, hướng đến tương lai.",Trần Đăng Đạt,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",1749
2309,25000,Hãy luôn yêu đời nhé !,Nguyễn Thúy An,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",3054
2310,45000,Chúc mừng sinh nhật.,Phạm An Khanh,"35 NGUYỄN KIỆM , P.3 , Q. GÒVẤP, TP.HCM",703
2311,25000,Một ngày được phủ tràn nắng ấm,Trần Huy Vũ,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",438
2312,45000,Happy Birthday!,Hứa Huy Phong,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",2079
2313,25000,Chúc mừng sinh nhật!,Hoàng Minh Nguyên,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",3230
2314,45000,Party hard - this is YOUR day\,Đoàn Danh Hưng,"469 HƯƠNG LỘ 2, P.BÌNH TRỊ ĐÔNG,Q.BÌNH TÂN,TP. HCM",3097
2315,25000,Cuộc đời là một chuyến hành trình.,Nguyễn Quang Thịnh,"68 Nguyễn Huệ, P. Bến Nghé, Quận",3213
2316,45000,"Another year older, another year wiser. ",Trịnh Hoàng Bách,"924 Nguyễn Kiệm, P. 03, Q. GòVấp, TP. HCM",2394
2317,25000,Life is a journey.,Hồ Tấn Thiện,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",1842
2318,45000,Cuộc đời là một chuyến hành trình.,Phạm Phúc Nguyên,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",1496
2319,25000,Chúc mừng sinh nhật bạn thân!,Lê Xuân Minh,"37/5 HUỲNH MẪN ĐẠT, P.19, Q.BÌNH THẠNH, HCM",3184
2320,45000,"Another year older, another year wiser. ",Lê Nguyễn Ngọc Thuận,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",2631
2321,25000,Một ngày được phủ tràn nắng ấm,Nguyễn Doãn Thiên Ân,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",2831
2322,45000,Chúc mừng sinh nhật người đẹp.,Nguyễn Quốc Triệu,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",1345
2323,25000,Một ngày được phủ tràn nắng ấm,Trương Tân Thành,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",3142
2324,45000,Chúc mừng sinh nhật!,Lê Châu Anh,"745/224 Quang Trung, p12, q Gò Vấp, Tp. HCM",3163
2325,25000,Chúc bạn luôn xinh đẹp và hạnh phúc,Bảo Kỳ,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",2763
2326,45000,May beauty and happiness surround you,Phan Minh Triết,"68 Nguyễn Huệ, P. Bến Nghé, Quận",1338
2327,25000,,Quang Minh,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",119
2328,45000,"Hãy lạc quan, luôn tin tưởng vào bản thân",Nguyễn Thái Giang,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",3130
2329,25000,\Tận hưởng từng centimet nhé ;),Trần Nguyên Đạt,"130Điện Biên Phủ,Phường 17,BÌNH THẠNH,TP.HCM",2046
2330,45000,Chúc mừng sinh nhật người đẹp.,Văn Dũng,"35 Nguyễn Trung Trực, P.5, Q. Bình Thạnh",2058
2331,25000,Chúc mừng sinh nhật bạn thân!,Nguyễn Bảo Ngọc,"l91Nguyễn Hữu Cảnh, P22, Q.Bình Thạnh",3041
2332,45000,Happy Birthday.,Nguyễn Minh Trí,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",3223
2333,25000,Forget the past; look forward to the future,Nguyễn Trung Hưng,"14/4 ĐƯỜNG SỐ 9, PHƯỜNG 9,Q. GÒ VẤP, TP. HCM",3203
2334,45000,Happy Birthday,Mạch Hiểu Lam,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",2862
2335,25000,"Another year older, another year wiser. ",Đặng Minh,"159 NGUYEN THUONG HIEN, P6, BINH THANH, HCM",3051
2336,45000,Những gì tốt đẹp nhất vẫn đang đến.,Đinh Tuấn Khang,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",2909
2337,25000,for the best things are yet to come,Nguyễn Doãn Thiên Ân,"212 Nguyễn Văn Lượng, P.17, Q.Gò Vấp",2171
2338,45000,Happy Birthday!,Hoàng Minh Nguyên,"50/12A ĐINH TIÊN HOÀNG, P1, Q. BÌNH THẠNH, TP. HCM",3052
2339,25000,"Thêm một tuổi mới, thêm khôn ngoan.",Nguyễn Hà Khánh Ngọc,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",3020
2340,45000,"Thêm một tuổi mới, thêm khôn ngoan.",Bùi Minh Khôi,"233đường Trục, P.13, Q. BìnhThạnh",1963
2341,25000,Chúc mừng sinh nhật!,Hoàng Đông Bách,"41 Tên Lửa, P. Bình Trị Đông B, Q. Bình Tân,",3270
2342,45000,Party hard - this is YOUR day\,Đỗ Anh Dương,"73A ĐƯỜNG SỐ 5,P.BÌNH HƯNG HÒA,Q. BÌNH TÂN,TP. HCM",2197
2343,25000,Cuộc đời là một chuyến hành trình.,Lê Hồng Nhật Y,"482A Nơ Trang Long,BÌNH THẠNH,TP.HCM",1766
2344,45000,Chúc mừng sinh nhật!,Juan Ming Shi,"29PHẠM VĂN ĐỒNG,PHƯỜNG 13,Q. BÌNH THẠNH,TP. HCM",3275
2345,25000,Chúc mừng sinh nhật!,Nguyễn Danh Hoàng Long,"C6/28 Phạm Hùng, Ấp 4A,Bình Hưng,Bình Chánh,TP.HCM",1730
2346,45000,\Tận hưởng từng centimet nhé ;),Nguyễn Sỹ Nhật Minh,"233đường Trục, P.13, Q. BìnhThạnh",2246
2347,25000,Life is a journey.,Nguyễn Tùng Chi,"106/3 Nguyễn Thị Triệu, thị trấn Củ Chi, Tp.HCM",2889
2348,45000,Chúc mừng sinh nhật người đẹp.,Phan Minh Triết,"530A Phạm Văn Bạch,P12 , Q Gò Vấp, TP.HCM",2807
