ID_VOUCHER,SONHA,DUONG,QUAN,THANHPHO
1592,Raleigh,Cao Lỗ,Quận 5,Thành phố Đà Nẵng
1593,Greensboro,Cống Quỳnh,Quận 1,Tỉnh Hòa Bình
1594,Tulsa,Huỳnh Thúc Kháng,Quận 12,Tỉnh Hòa Bình
1595,Raleigh,Hẻm 861 Trần Xuân Soạn,Quận 4,Thành phố Hải Phòng
1596,Little Rock,Dương Quảng Hàm,Quận 3,Thành phố Hồ Chí Minh
1597,Minneapolis,Trung Mỹ Tây,Tân Phú,Tỉnh An Giang
1598,Austin,Hẻm 120 Trần Hưng Ðạo,Bình Tân,Tỉnh Hà Tĩnh
1599,Lubbock,Nguyễn Văn Bứa,Tân Bình,Thành phố Hải Phòng
1600,New Orleans,Nguyễn Thị Nghĩa,Phú Nhuận,Thành phố Hồ Chí Minh
1601,Akron,Hẻm 207 Đường 3 Tháng 2,Quận 10,Thành phố Hải Phòng
1602,Santa Ana,Tân Sơn Nhì,Quận 12,Thành phố Hồ Chí Minh
1603,Santa Ana,Nguyễn Văn Tạo,Quận 5,Thành phố Hồ Chí Minh
1604,Dallas,Hoà Hưng,Quận 3,Tỉnh Hòa Bình
1605,San Francisco,Cầu An Lạc,Quận 4,Thành phố Hồ Chí Minh
1606,Los Angeles,Hoàng Dư Khương,Quận 4,Tỉnh Hà Nam
1607,Anaheim,Hương Lộ 10,Gò Vấp,Thành phố Hải Phòng
1608,Las Vegas,Cầu Him Lam,Bình Thạnh,Thành phố Cần Thơ
1610,Toledo,Nguyễn Hữu Thọ,Quận 6,Thành phố Hồ Chí Minh
1611,Charlotte,Hẻm 453 Lê Văn Sỹ,Quận 4,Tỉnh Gia Lai
1612,Austin,Hẻm 200 Xóm Chiếu,Quận 7,Tỉnh Hà Tĩnh
1613,Los Angeles,Ðồng Khởi,Quận 3,Thành phố Hồ Chí Minh
1614,Anchorage,Trần Hữu Trang,Quận 4,Tỉnh Hưng Yên
1615,Greensboro,Nguyễn Duy Dương,Phú Nhuận,Tỉnh Hà Nam
1616,Cincinnati,Hẻm 78 Tôn Thất Thuyết,Quận 4,Tỉnh Gia Lai
1617,Long Beach,Lại Hùng Cường,Quận 1,Tỉnh Hưng Yên
1618,Bakersfield,Đường Số 1,Bình Thạnh,Thành phố Hà Nội
1619,Lincoln,Nguyễn Kim,Quận 8,Tỉnh An Giang
1620,Grand Rapids,Hẻm 200 Xóm Chiếu,Gò Vấp,Tỉnh Hà Giang
1621,St. Louis,Lê Văn Quới,Bình Tân,Thành phố Cần Thơ
1622,Minneapolis,Cầu Bông,Quận 11,Tỉnh Gia Lai
1623,Akron,Phan Đăng Lưu,Quận 8,Tỉnh Hà Giang
1625,Richmond,Cầu Ông Lãnh,Phú Nhuận,Tỉnh Hà Tĩnh
1626,Des Moines,Thuận Kiều,Tân Phú,Thành phố Hà Nội
1627,Wichita,Nguyễn Ảnh Thủ,Phú Nhuận,Tỉnh Hưng Yên
1628,San Jose,Thuận Kiều,Bình Tân,Thành phố Hải Phòng
1629,Virginia Beach,Hoàng Diệu,Quận 6,Tỉnh Hà Giang
1630,San Jose,Hương Lộ 80,Quận 6,Thành phố Hải Phòng
1631,Santa Ana,Hẻm 299 Lý Thường Kiệt,Bình Thạnh,Tỉnh Hà Tĩnh
1632,Indianapolis,Hậu Giang,Bình Tân,Thành phố Đà Nẵng
1633,Austin,Cầu Vượt Lý Thái Tổ - Nguyễn Tri Phương,Tân Bình,Tỉnh An Giang
1634,Minneapolis,Cầu Công Lý,Quận 1,Thành phố Cần Thơ
1635,Yonkers,Lê Quang Sung,Tân Phú,Thành phố Hà Nội
1636,Aurora,Cầu Bùi Hữu Nghĩa,Bình Thạnh,Tỉnh An Giang
1637,Spokane,Trần Đại Nghĩa,Quận 8,Tỉnh Hòa Bình
1638,Phoenix,Trần Nhân Tôn,Bình Tân,Thành phố Đà Nẵng
1639,Detroit,Cầu Vượt Ngã Tư Ga,Quận 3,Thành phố Hồ Chí Minh
1640,Fort Wayne,Bùi Thị Xuân,Quận 3,Tỉnh An Giang
1641,Colorado,Phùng Khắc Khoan,Quận 12,Tỉnh Gia Lai
1642,Albuquerque,Nguyễn Văn Linh,Phú Nhuận,Tỉnh Hòa Bình
1643,Omaha,Hẻm 360 Nguyễn Thị Minh Khai,Quận 10,Thành phố Đà Nẵng
1645,Dallas,Cầu Ông Đội,Gò Vấp,Tỉnh Hòa Bình
1646,Atlanta,Hoàng Hoa Thám,Phú Nhuận,Tỉnh Gia Lai
1647,Tampa,Phú Mỹ,Tân Phú,Tỉnh Hà Giang
1648,Oakland,Cầu Vượt Sóng Thần 1,Quận 5,Thành phố Hồ Chí Minh
1649,Fort Worth,Trịnh Thị Miếng,Quận 10,Tỉnh Gia Lai
1650,Stockton,Hoà Hưng,Quận 8,Tỉnh Hà Nam
1651,Toledo,Hẻm 51 Cao Thắng,Quận 1,Thành phố Cần Thơ
1652,San Antonio,Cầu Vượt Hương Lộ 2,Quận 4,Tỉnh An Giang
1653,Chicago,Đồng Nai,Quận 4,Tỉnh Hà Nam
1654,Madison,Nguyễn Đồng Chi,Quận 3,Thành phố Cần Thơ
1655,San Jose,Nguyễn Thông,Quận 10,Thành phố Hồ Chí Minh
1656,Omaha,Ông Ích Khiêm,Bình Thạnh,Thành phố Cần Thơ
1657,Glendale,Hẻm 75 Điện Biên Phủ,Quận 3,Tỉnh Hòa Bình
1658,Madison,Lê Văn Sỹ,Quận 1,Tỉnh Hòa Bình
1659,Little Rock,Xuân Thuỷ,Quận 10,Tỉnh An Giang
1660,Buffalo,Nguyễn Kim,Quận 11,Thành phố Hà Nội
1661,Richmond,Hẻm 413 Lê Văn Sỹ,Bình Thạnh,Tỉnh Hà Giang
1662,Akron,Nguyễn Đình Chiểu,Quận 4,Tỉnh Hà Tĩnh
1663,Las Vegas,Lê Hồng Phong,Quận 11,Thành phố Hà Nội
1664,Lubbock,Cầu Công Lý,Quận 12,Thành phố Đà Nẵng
1665,Dayton,Đường Số 1,Quận 1,Thành phố Hồ Chí Minh
1666,Lubbock,Hoàng Hoa Thám,Tân Phú,Thành phố Đà Nẵng
1667,Fort Wayne,Lê Hồng Phong,Quận 11,Thành phố Hải Phòng
1668,Memphis,Hẻm 39 Bùi Văn Ba,Bình Thạnh,Thành phố Đà Nẵng
1669,Long Beach,Cầu Ông Đội,Quận 11,Thành phố Hồ Chí Minh
1670,New Orleans,Hẻm 265 Phạm Ngũ Lão,Bình Thạnh,Tỉnh Hưng Yên
1671,Lubbock,Phạm Văn Nghị,Quận 3,Tỉnh An Giang
1672,Phoenix,Nguyễn Đình Chiểu,Tân Phú,Thành phố Đà Nẵng
1673,Jacksonville,Cao Thắng,Quận 1,Thành phố Đà Nẵng
1674,Garland,Hẻm 12 Nguyễn Thị Minh Khai,Quận 1,Tỉnh Hòa Bình
1675,New Orleans,Phạm Văn Nghị,Bình Thạnh,Thành phố Đà Nẵng
1676,Austin,Bùi Thị Xuân,Bình Tân,Tỉnh Hà Nam
1678,Mobile,Nguyễn Công Hoan,Quận 1,Tỉnh Hà Giang
1679,Chicago,Cầu Đồng Nai,Quận 5,Thành phố Cần Thơ
1680,Nashville,Trường Sa,Quận 7,Tỉnh Hà Tĩnh
1681,Bakersfield,Nguyễn Đồng Chi,Tân Phú,Tỉnh Hưng Yên
1682,Shreveport,Nguyễn Du,Quận 8,Tỉnh Hà Giang
1683,Newark,Cầu Vượt Hương Lộ 2,Bình Thạnh,Thành phố Cần Thơ
1684,Boston,Hẻm 184 Lê Văn Sỹ,Quận 12,Tỉnh Hà Nam
1685,Birmingham,3 Tháng 2,Quận 8,Tỉnh Hà Nam
1686,St. Petersburg,Nguyễn Thông,Tân Bình,Thành phố Hà Nội
1687,Albuquerque,Hẻm 333-335 Điện Biên Phủ,Quận 3,Thành phố Đà Nẵng
1689,Fort Worth,Nguyễn Thị Nhỏ,Quận 1,Thành phố Hải Phòng
1690,Dallas,Lê Thị Bạch Cát,Quận 5,Tỉnh Hà Giang
1691,Fort Wayne,Hẻm 18a Nguyễn Thị Minh Khai,Tân Phú,Thành phố Đà Nẵng
1692,Greensboro,Phạm Ngọc Thạch,Bình Tân,Tỉnh Hòa Bình
1694,Cincinnati,Hồ Văn Long,Phú Nhuận,Tỉnh Gia Lai
1695,Columbus,Quốc Lộ 22,Bình Tân,Thành phố Hà Nội
1698,Tucson,Cầu Kiệu,Quận 10,Tỉnh Gia Lai
1699,Indianapolis,Mai Xuân Thưởng,Bình Tân,Thành phố Đà Nẵng
1701,Milwaukee,Công Trường Lam Sơn,Bình Thạnh,Thành phố Hà Nội
1702,Austin,Phan Xích Long,Quận 6,Thành phố Cần Thơ
1703,Chicago,Hà Huy Tập,Phú Nhuận,Tỉnh Hà Giang
1704,Milwaukee,Cầu Vượt Ngã Tư Ga,Tân Phú,Tỉnh Hà Tĩnh
1705,Montgomery,Cầu Bà Lát,Quận 10,Tỉnh Hà Nam
1706,Fremont,Trần Nhật Duật,Quận 4,Tỉnh Hà Nam
1707,Lincoln,Số 32,Gò Vấp,Thành phố Cần Thơ
1708,Richmond,Hẻm 358 Cách Mạng Tháng Tám,Bình Thạnh,Tỉnh Hà Giang
1709,Cleveland,Tôn Thất Thiệp,Tân Bình,Tỉnh An Giang
1710,Norfolk,Hoa Sứ,Quận 5,Tỉnh Hưng Yên
1711,Glendale,Hẻm 487 Huỳnh Tấn Phát,Tân Phú,Thành phố Hà Nội
1712,Oklahoma,Quốc Lộ 1a,Quận 1,Thành phố Đà Nẵng
1714,Las Vegas,Đại Lộ Võ Văn Kiệt (Đông Tây),Bình Tân,Thành phố Hồ Chí Minh
1715,Anaheim,Nguyễn Lương Bằng,Quận 7,Tỉnh Hà Giang
1716,Mesa,Đông Hưng Thuận 2,Gò Vấp,Tỉnh Hưng Yên
1717,Hialeah,Lạc Long Quân,Quận 5,Thành phố Hải Phòng
1718,Des Moines,Trần Hòa,Tân Phú,Thành phố Hà Nội
1719,Philadelphia,Trần Đại Nghĩa,Quận 6,Thành phố Hải Phòng
1720,Omaha,Nguyễn Văn Công,Quận 5,Thành phố Hà Nội
1721,Omaha,Phạm Huy Thông,Quận 5,Thành phố Hồ Chí Minh
1722,Anaheim,Võ Thị Sáu,Quận 11,Tỉnh Gia Lai
1723,Cincinnati,Tạ Uyên,Quận 6,Tỉnh Hà Giang
1724,Little Rock,Hẻm 749 Huỳnh Tấn Phát,Tân Phú,Tỉnh Hưng Yên
1725,San Francisco,Cầu Chợ Cầu 1,Quận 4,Tỉnh Hà Giang
1727,Rochester,Tô Ngọc Vân,Bình Thạnh,Tỉnh Hà Giang
1728,Greensboro,Cầu Cần Giuộc,Quận 10,Tỉnh Hà Nam
1730,St. Paul,Hoa Mai,Quận 5,Thành phố Hà Nội
1731,Tacoma,Lữ Gia,Quận 7,Thành phố Hà Nội
1733,Detroit,Phan Kế Bính,Quận 1,Tỉnh Gia Lai
1734,Jacksonville,Bùi Tá Hán,Quận 5,Tỉnh Hà Nam
1735,Lubbock,Vườn Chuối,Bình Thạnh,Tỉnh Hòa Bình
1736,Toledo,Tô Ký,Bình Thạnh,Thành phố Hải Phòng
1737,Minneapolis,Nguyễn Văn Bứa,Quận 7,Thành phố Cần Thơ
1738,Dallas,Lê Văn Thọ,Tân Phú,Tỉnh Hưng Yên
1739,Austin,Nguyễn Du,Tân Bình,Tỉnh Hà Giang
1740,San Diego,Cầu Rạch Ông,Gò Vấp,Tỉnh Hòa Bình
1741,Pittsburgh,Huỳnh Khương Ninh,Quận 12,Tỉnh Hà Giang
1742,Akron,Nguyễn Hữu Thọ,Quận 5,Thành phố Đà Nẵng
1743,Nashville,Trần Hưng Đạo,Tân Bình,Tỉnh An Giang
1744,Atlanta,Phan Đăng Lưu,Quận 5,Thành phố Hồ Chí Minh
1746,Garland,Trần Hòa,Phú Nhuận,Tỉnh Hà Nam
1747,Akron,Cầu Mống,Quận 5,Tỉnh Hưng Yên
1748,Lincoln,Hương Lộ 80,Quận 12,Tỉnh Hưng Yên
1749,Denver,Trần Quốc Thảo,Quận 6,Tỉnh Hà Tĩnh
1750,Richmond,Hoàng Văn Thái,Quận 4,Thành phố Hải Phòng
1751,St. Paul,Cầu Đen 1,Gò Vấp,Tỉnh Hà Tĩnh
1752,Memphis,Lê Hồng Phong,Quận 1,Tỉnh Hưng Yên
1753,New Orleans,Xóm Đất,Quận 1,Thành phố Đà Nẵng
1754,Baton Rouge,Nguyễn Văn Đậu,Quận 6,Tỉnh Gia Lai
1755,Minneapolis,Lê Văn Qưới,Tân Bình,Tỉnh Hòa Bình
1756,Jersey,Hoà Hảo,Quận 11,Thành phố Đà Nẵng
1757,Fort Worth,Cầu Rạch Đĩa,Quận 10,Tỉnh Hòa Bình
1758,Stockton,Đào Duy Từ,Quận 4,Tỉnh Hà Nam
1759,Miami,Bùi Minh Trực,Quận 11,Thành phố Hà Nội
1760,Baton Rouge,Hẻm 2 Nguyễn Huệ,Quận 5,Tỉnh Hưng Yên
1762,Miami,Tỉnh Lộ 743c,Quận 4,Thành phố Hà Nội
1763,Riverside,Nguyễn Thị Minh Khai,Tân Bình,Tỉnh Gia Lai
1764,Colorado,Hẻm Võ Thị Sáu,Quận 8,Thành phố Cần Thơ
1765,Rochester,Trần Quý Khoách,Quận 10,Thành phố Hải Phòng
1766,Oklahoma,Hoàng Văn Thụ,Quận 11,Tỉnh Hà Giang
1767,Tacoma,Hẻm 194 Bạch Đằng,Quận 11,Tỉnh Hà Nam
1768,San Diego,Nguyễn Thị Minh Khai,Quận 1,Thành phố Đà Nẵng
1769,Toledo,Cầu Kênh Tẻ,Quận 3,Thành phố Hải Phòng
1770,Milwaukee,Suối Lội,Quận 8,Tỉnh Gia Lai
1771,St. Petersburg,Nguyễn Văn Linh,Quận 12,Thành phố Hà Nội
1772,Aurora,Quốc Lộ 51,Quận 11,Tỉnh Hưng Yên
1773,Long Beach,Cách Mạng Tháng Tám,Quận 3,Tỉnh Gia Lai
1774,Baltimore,Nguyễn Kim,Quận 3,Tỉnh Hòa Bình
1775,Tulsa,Cầu Bùi Hữu Nghĩa,Quận 1,Tỉnh Hà Nam
1776,Raleigh,Hẻm 148 Tôn Đản,Phú Nhuận,Tỉnh Hưng Yên
1777,Las Vegas,Hậu Giang,Quận 4,Thành phố Hải Phòng
1778,Kansas,Hồ Văn Long,Tân Phú,Tỉnh Hà Nam
1779,Buffalo,Hẻm 373 Nguyễn Trãi,Quận 10,Thành phố Đà Nẵng
1780,Jersey,Quách Điêu,Bình Thạnh,Thành phố Cần Thơ
1781,Kansas,Cầu Hoàng Hoa Thám,Quận 12,Tỉnh Hà Nam
1783,Nashville,Nguyễn Kim,Tân Phú,Thành phố Cần Thơ
1784,Denver,Hồ Văn Huê,Quận 11,Tỉnh Hà Giang
1785,San Antonio,Nguyễn Sơn Hà,Quận 10,Thành phố Hồ Chí Minh
1786,Greensboro,Ngô Tất Tố,Bình Tân,Thành phố Hà Nội
1787,Miami,Hẻm 320 Nguyễn Văn Linh,Quận 8,Tỉnh Hà Tĩnh
1788,Nashville,Tô Hiến Thành,Tân Phú,Thành phố Hải Phòng
1789,Columbus,Nguyễn Thượng Hiền,Quận 3,Tỉnh An Giang
1790,Akron,Lê Ngô Cát,Phú Nhuận,Tỉnh Hà Tĩnh
1791,Virginia Beach,Nguyễn Thượng Hiền,Quận 7,Thành phố Cần Thơ
1792,Louisville,Hẻm Ðinh Công Tráng,Quận 7,Tỉnh An Giang
1793,Fort Worth,Hẻm 207 Đường 3 Tháng 2,Tân Bình,Tỉnh An Giang
1794,Tampa,Vạn Kiếp,Quận 1,Tỉnh Hà Nam
1795,Tulsa,Lê Văn Lương,Bình Tân,Thành phố Cần Thơ
1796,Wichita,Hẻm 288 Nam Kỳ Khởi Nghĩa,Tân Phú,Tỉnh An Giang
1797,Buffalo,Phạm Văn Đồng,Quận 12,Tỉnh An Giang
1798,San Diego,Tân Sơn Nhì,Quận 3,Thành phố Hồ Chí Minh
1799,New Orleans,Huỳnh Đình Hai,Quận 6,Thành phố Cần Thơ
1800,Baton Rouge,Nguyễn Xí,Quận 7,Tỉnh Hà Giang
1801,Raleigh,Trần Quốc Thảo,Phú Nhuận,Tỉnh Hà Tĩnh
1802,Baton Rouge,Phan Đăng Lưu,Quận 4,Tỉnh Hà Tĩnh
1803,Portland,Phan Kế Bính,Gò Vấp,Thành phố Hà Nội
1804,Buffalo,Nguyễn Công Hoan,Quận 7,Thành phố Cần Thơ
1805,Glendale,Nguyễn Văn Nguyễn,Quận 4,Tỉnh Hà Nam
1806,Baltimore,Hẻm 199 Cách Mạng Tháng Tám,Quận 7,Tỉnh Hưng Yên
1807,Arlington,Bình Dương Thị Xã,Quận 6,Tỉnh Hà Tĩnh
1808,Albuquerque,Nguyễn Thị Huỳnh,Bình Thạnh,Thành phố Hải Phòng
1809,Wichita,Tên Lửa,Gò Vấp,Thành phố Đà Nẵng
1810,Virginia Beach,Hẻm 134 Nguyễn Thị Thập,Quận 10,Thành phố Hà Nội
1812,Buffalo,Hoàng Sa,Quận 10,Thành phố Đà Nẵng
1813,San Diego,Song Hành Ql 22,Quận 6,Tỉnh Hưng Yên
1814,Austin,Lương Nhữ Học,Quận 10,Thành phố Hà Nội
1815,Minneapolis,Luỹ Bán Bích,Gò Vấp,Thành phố Đà Nẵng
1816,Houston,Kỳ Ðồng,Quận 10,Tỉnh An Giang
1818,Toledo,Nguyễn Hữu Thọ,Quận 8,Tỉnh Hà Tĩnh
1819,Charlotte,Hoà Hảo,Phú Nhuận,Thành phố Hà Nội
1820,Nashville,Cầu Chà Và,Quận 8,Thành phố Hà Nội
1821,Louisville,Cầu Chợ Cầu 1,Bình Thạnh,Tỉnh Hà Nam
1823,Corpus Christi,Cầu Mống,Tân Phú,Thành phố Hồ Chí Minh
1824,Nashville,Pasteur,Tân Phú,Tỉnh Hà Nam
1825,Hialeah,Hẻm 778 Nguyễn Kiệm,Tân Phú,Tỉnh Gia Lai
1826,Portland,Huỳnh Khương Ninh,Phú Nhuận,Tỉnh Hòa Bình
1827,Houston,An Điềm,Bình Tân,Thành phố Đà Nẵng
1828,Spokane,Châu Văn Liêm,Bình Thạnh,Tỉnh Hòa Bình
1829,Columbus,Xóm Vôi,Quận 12,Thành phố Cần Thơ
1830,Lincoln,Cầu Bông,Quận 3,Tỉnh Hà Giang
1832,Indianapolis,Hương Lộ 65,Quận 12,Tỉnh Hà Tĩnh
1833,San Antonio,Sư Vạn Hạnh,Tân Bình,Tỉnh Hà Tĩnh
1834,Anaheim,Nguyễn Thiện Thuật,Tân Phú,Thành phố Hồ Chí Minh
1835,Toledo,Nguyễn Hữu Cảnh,Quận 1,Tỉnh Hà Nam
1836,Lincoln,Hoàng Văn Thụ,Quận 1,Tỉnh Hòa Bình
1837,Oklahoma,Hoa Phượng,Quận 11,Tỉnh Hòa Bình
1838,Washington,Nguyễn Lương Bằng,Bình Thạnh,Tỉnh Gia Lai
1839,Fremont,Cầu Kênh Tẻ,Phú Nhuận,Tỉnh Hà Nam
1840,Norfolk,Trần Bình Trọng,Quận 3,Thành phố Hải Phòng
1841,Baton Rouge,Nguyễn Thiện Thuật,Phú Nhuận,Tỉnh Hà Tĩnh
1842,St. Louis,Phạm Ngũ Lão,Gò Vấp,Tỉnh Hưng Yên
1843,Tucson,Hồ Chí Minh - Trung Lương,Quận 1,Tỉnh Hà Tĩnh
1844,Tulsa,Hẻm 300 Nguyễn Văn Linh,Quận 10,Tỉnh Hưng Yên
1845,Jersey,Cầu Him Lam,Bình Tân,Tỉnh An Giang
1846,Riverside,Nam Kỳ Khởi Nghĩa,Phú Nhuận,Tỉnh Hưng Yên
1847,Omaha,Vũ Tùng,Quận 3,Tỉnh Hà Tĩnh
1849,Indianapolis,Bùi Quang Là,Quận 11,Tỉnh Hà Giang
1850,New York,Cô Bắc,Tân Bình,Thành phố Hải Phòng
1851,New Orleans,Ngô Quyền,Tân Phú,Thành phố Hải Phòng
1852,Phoenix,Cầu Vượt Nút Giao Quốc Lộ 1a (Số 11),Quận 5,Tỉnh An Giang
1853,Lincoln,Hẻm 58 Phạm Ngọc Thạch,Bình Thạnh,Tỉnh Hòa Bình
1854,Yonkers,Nguyễn Văn Công,Phú Nhuận,Thành phố Hải Phòng
1855,Austin,Cầu Thị Nghè,Quận 4,Thành phố Hồ Chí Minh
1856,Detroit,Cầu Chữ Y,Tân Bình,Tỉnh Hà Tĩnh
1857,Mobile,Tú Xương,Gò Vấp,Tỉnh Hà Nam
1858,Honolulu,Tuệ Tĩnh,Phú Nhuận,Thành phố Hà Nội
1859,Greensboro,Hẻm 265 Phạm Ngũ Lão,Quận 3,Tỉnh Hà Giang
1860,Honolulu,Xô Viết Nghệ Tĩnh,Quận 4,Tỉnh Hưng Yên
1861,Oklahoma,Cống Quỳnh,Bình Tân,Tỉnh Hà Nam
1862,New York,Đại Lộ Võ Văn Kiệt (Đông Tây),Quận 6,Thành phố Đà Nẵng
1863,Washington,Trần Quốc Toản,Tân Phú,Thành phố Hải Phòng
1864,Akron,Hoàng Minh Giám,Tân Phú,Tỉnh Gia Lai
1865,Dallas,Nguyễn Bỉnh Khiêm,Quận 12,Tỉnh Hà Tĩnh
1866,Honolulu,Hồ Thị Kỷ,Bình Thạnh,Tỉnh Hà Tĩnh
1867,Norfolk,Nguyễn Duy Trinh,Gò Vấp,Tỉnh Hà Tĩnh
1868,San Diego,Cầu Sài Gòn 1,Quận 3,Thành phố Hồ Chí Minh
1869,St. Louis,Cầu Him Lam,Bình Tân,Thành phố Hải Phòng
1870,Newark,Cô Giang,Quận 7,Tỉnh An Giang
1871,Denver,Đường Số 7,Quận 4,Thành phố Hà Nội
1872,Honolulu,Yersin,Bình Thạnh,Tỉnh Hà Tĩnh
1873,Santa Ana,Hẻm Bến Chương Dương,Quận 8,Thành phố Hải Phòng
1874,Jacksonville,Dương Quảng Hàm,Quận 10,Tỉnh Hà Giang
1875,Little Rock,Hẻm 68 Trần Quang Khải,Quận 1,Tỉnh Gia Lai
1876,Los Angeles,Thành Thái,Quận 5,Tỉnh Hà Nam
1877,Greensboro,Trần Chánh Chiếu,Phú Nhuận,Tỉnh Hà Tĩnh
1878,Fremont,Cầu Cần Giuộc,Quận 8,Tỉnh Hòa Bình
1879,Anchorage,Phan Chu Trinh,Phú Nhuận,Thành phố Đà Nẵng
1882,Charlotte,Lê Văn Khương,Quận 8,Thành phố Đà Nẵng
1883,Little Rock,Nguyễn Lương Bằng,Tân Phú,Tỉnh Hưng Yên
1884,Phoenix,Ký Con,Tân Bình,Thành phố Hải Phòng
1885,Tulsa,Bình Tây,Quận 7,Tỉnh Hà Nam
1886,Dallas,Đường Số 1,Quận 12,Tỉnh Hà Tĩnh
1887,St. Petersburg,Nguyễn Khoái,Tân Phú,Thành phố Hồ Chí Minh
1888,Yonkers,Cầu Lò Gốm,Tân Phú,Tỉnh Hưng Yên
1889,Newark,Bình Tây,Quận 5,Tỉnh Gia Lai
1890,Santa Ana,Nguyễn Văn Giai,Quận 11,Tỉnh Hòa Bình
1891,Newark,Lê Tuấn Mậu,Quận 5,Tỉnh Gia Lai
1894,Seattle,Liêu Bình Hương,Quận 8,Thành phố Đà Nẵng
1895,Tulsa,Lê Hồng Phong,Gò Vấp,Thành phố Hải Phòng
1896,Lubbock,Tân Hoá,Quận 8,Tỉnh An Giang
1897,Miami,Tỉnh Lộ 743c,Quận 4,Thành phố Hà Nội
1898,Des Moines,Ba Đình,Quận 4,Thành phố Hải Phòng
1900,Albuquerque,Đặng Nguyên Cẩn,Quận 8,Tỉnh Hưng Yên
1902,Long Beach,Nguyễn Trọng Tuyển,Phú Nhuận,Tỉnh Gia Lai
1903,Spokane,Trần Phú,Quận 3,Tỉnh An Giang
1904,Bakersfield,Trần Nhật Duật,Quận 4,Tỉnh Hà Nam
1905,Pittsburgh,Võ Văn Kiệt,Quận 5,Tỉnh Hòa Bình
1906,Cleveland,Số 49 Tân Quy Đông,Bình Thạnh,Thành phố Đà Nẵng
1907,Memphis,Trần Hữu Trang,Bình Thạnh,Tỉnh Hưng Yên
1908,Little Rock,Cầu Hoàng Hoa Thám,Tân Phú,Thành phố Đà Nẵng
1909,Tucson,Lê Trọng Tấn,Tân Bình,Tỉnh Hà Giang
1910,Anchorage,Võ Văn Kiệt,Quận 3,Thành phố Cần Thơ
1911,Des Moines,Tân Chánh Hiệp 10,Quận 11,Thành phố Đà Nẵng
1912,Detroit,Đồng Đen,Quận 1,Thành phố Hà Nội
1913,Atlanta,Nguyễn Văn Bứa,Quận 8,Thành phố Hải Phòng
1915,Birmingham,Hẻm 2bis Nguyễn Thị Minh Khai,Quận 7,Tỉnh An Giang
1916,Memphis,Đường Số 1a,Quận 5,Tỉnh An Giang
1917,El Paso,Nguyễn Chí Thanh,Quận 1,Thành phố Đà Nẵng
1918,Riverside,Cầu Vượt Hương Lộ 2,Quận 12,Thành phố Hà Nội
1920,Fresno,Trần Trọng Cung,Quận 10,Tỉnh Hưng Yên
1921,Hialeah,Hẻm 382 Nguyễn Thị Minh Khai,Bình Tân,Tỉnh Gia Lai
1922,Bakersfield,Tân Túc,Quận 10,Tỉnh Hà Giang
1923,Louisville,Cầu Chữ Y,Quận 8,Tỉnh Hà Nam
1924,Yonkers,Cầu Phú Xuân,Quận 1,Thành phố Hồ Chí Minh
1925,Santa Ana,Quốc Lộ 51,Bình Thạnh,Thành phố Cần Thơ
1926,St. Paul,Hẻm 265 Phạm Ngũ Lão,Quận 8,Thành phố Cần Thơ
1927,Louisville,Hẻm 299 Lý Thường Kiệt,Bình Tân,Tỉnh Hà Giang
1928,Jackson,Nguyễn Thị Nhỏ,Quận 11,Thành phố Hải Phòng
1929,Jackson,Dương Đình Nghệ,Quận 10,Thành phố Cần Thơ
1930,Greensboro,Trần Khánh Dư,Quận 5,Tỉnh Hưng Yên
1931,Buffalo,Cầu Đồng Nai,Bình Thạnh,Thành phố Hải Phòng
1932,San Francisco,Cầu Kiệu,Bình Tân,Tỉnh Hưng Yên
1933,Des Moines,Võ Văn Kiệt,Tân Phú,Thành phố Hà Nội
1934,Cleveland,Nguyễn Hữu Hào,Quận 8,Tỉnh Hưng Yên
1935,St. Louis,Cầu Phú Mỹ,Quận 10,Thành phố Hà Nội
1936,Baltimore,Tạ Uyên,Quận 12,Thành phố Hải Phòng
1937,Grand Rapids,Cầu Lò Gốm,Tân Phú,Thành phố Hà Nội
1938,Colorado,Đường Số 8,Phú Nhuận,Tỉnh Gia Lai
1939,Pittsburgh,Cầu Chà Và,Quận 6,Tỉnh Hà Giang
1940,Riverside,Đường Số 79,Quận 5,Tỉnh Gia Lai
1942,Phoenix,Hẻm 199 Cách Mạng Tháng Tám,Quận 8,Thành phố Hà Nội
1943,Norfolk,Cầu Khánh Hội,Tân Phú,Thành phố Hồ Chí Minh
1944,Raleigh,Chiêu Anh Các,Tân Bình,Thành phố Hà Nội
1945,Newark,Luỹ Bán Bích,Bình Tân,Thành phố Hồ Chí Minh
1946,Anchorage,Phạm Ngọc Thạch,Quận 7,Tỉnh Hà Giang
1947,Des Moines,Trần Văn Giàu,Bình Tân,Thành phố Hà Nội
1948,St. Petersburg,Tân Phú Trung,Tân Phú,Tỉnh Hòa Bình
1949,Detroit,An Dương Vương,Tân Bình,Tỉnh Hà Nam
1950,Minneapolis,Bến Bình Đông,Quận 11,Thành phố Hồ Chí Minh
1951,Des Moines,Đường Số 40,Quận 3,Thành phố Cần Thơ
1953,Las Vegas,Hẻm 18b Nguyễn Thị Minh Khai,Quận 7,Tỉnh An Giang
1954,Grand Rapids,Tân Hoà Đông,Tân Phú,Thành phố Hà Nội
1955,San Diego,Nguyễn Hữu Thọ,Phú Nhuận,Tỉnh Hà Nam
